"['00036', '2015-12', '0.69', '-0.16', '26.77', '7.29', '218.69', '217.96']","['00036', '2016-06', '0.6', '0.1', '24.22', '-11.15', '206.71', '205.91']","['00036', '2016-12', '0.83', '-0.5', '14.8', '-4.95', '193.05', '192.54']","['00036', '2017-06', '0.69', '0.0', '13.31', '-5.46', '168.28', '167.78']","['00036', '2017-12', '0.65', '-0.03', '7.84', '6.38', '187.32', '186.83']","['00036', '2018-06', '0.56', '-0.19', '5.98', '-2.98', '173.05', '172.35']","['00036', '2018-12', '0.36', '-0.12', '2.11', '-9.73', '170.76', '170.34']"
"['00037', '2015-09', '0.435', '-0.48', '50.78', '-1.63', '4.28', '4.26']","['00037', '2016-03', '0.31', '-0.02', '2.9', '-1.76', '3.05', '3.04']","['00037', '2016-09', '0.34', '0.14', '22.6', '-0.16', '3.48', '3.47']","['00037', '2017-03', '0.365', '-0.04', '5.11', '-0.79', '2.62', '2.61']","['00037', '2017-09', '0.4', '0.01', '4.67', '1.36', '2.49', '2.48']","['00037', '2018-03', '0.375', '0.02', '9.11', '1.22', '2.88', '2.86']","['00037', '2018-09', '0.29', '-0.03', '1.96', '-0.97', '2.69', '2.68']"
"['00038', '2017-06', '3.8467', '-0.54', '22.94', '3.26', '1.01', '0.85']","['00038', '2017-12', '3.05', '-0.34', '22.74', '5.72', '1.09', '0.94']","['00038', '2018-06', '2.51', '-0.29', '4.48', '-17.45', '1.19', '0.98']","['00038', '2018-12', '1.73', '-0.5', '2.35', '-150.51', '1.05', '0.85']"
"['00039', '2015-12', '0.645', '0.07', '16.05', '0.51', '3.78', '3.63']","['00039', '2016-06', '0.33', '-0.01', '11.0', '0.29', '2.32', '2.06']","['00039', '2016-12', '0.395', '-0.02', '9.43', '0.15', '1.49', '1.42']","['00039', '2017-06', '0.375', '-0.03', '6.17', '0.02', '1.62', '1.59']","['00039', '2017-12', '0.3', '-0.01', '11.76', '2.2', '1.45', '1.43']","['00039', '2018-06', '0.245', '-0.07', '6.03', '0.17', '1.52', '1.48']","['00039', '2018-12', '0.15', '-0.12', '1.81', '0.08', '0.0', '0.0']"
"['00040', '2015-09', '0.6272', '-0.27', '1.89', '5.91', '1.21', '0.86']","['00040', '2016-03', '0.71', '0.08', '0.46', '2.4', '1.19', '0.82']","['00040', '2016-09', '0.6736', '0.0', '0.51', '1.67', '1.08', '0.76']","['00040', '2017-03', '0.675', '0.01', '0.39', '2.6', '1.11', '0.81']","['00040', '2017-09', '0.6562', '0.08', '2.1', '1.69', '1.01', '0.71']","['00040', '2018-03', '0.7904', '-0.01', '0.53', '2.6', '0.98', '0.69']","['00040', '2018-09', '0.7337', '-0.16', '0.16', '2.85', '1.15', '0.84']"
"['00041', '2015-12', '20.6894', '2.01', '1.82', '498.0', '0.84', '0.6']","['00041', '2016-06', '24.2627', '4.69', '3.69', '221.0', '2.1', '1.59']","['00041', '2016-12', '30.976', '2.08', '2.02', '410.0', '1.86', '1.28']","['00041', '2017-06', '34.4388', '3.95', '1.53', '537.0', '2.96', '2.08']","['00041', '2017-12', '37.4014', '-0.12', '1.44', '1283.0', '2.48', '1.67']","['00041', '2018-06', '37.3826', '-0.67', '1.15', '501.0', '1.53', '1.05']","['00041', '2018-12', '31.5', '-5.65', '3.01', '833.0', '1.8', '1.28']"
"['00042', '2017-06', '1.94', '-0.37', '21.39', '-2.28', '2.32', '2.17']","['00042', '2017-12', '1.54', '-0.37', '14.55', '-45.0', '0.4', '0.37']","['00042', '2018-06', '0.9', '-0.39', '1.66', '0.44', '0.46', '0.44']","['00042', '2018-12', '0.64', '0.01', '0.83', '2.28', '0.0', '0.0']"
"['00045', '2015-12', '7.5369', '-0.12', '1.23', '65.0', '2.68', '2.62']","['00045', '2016-06', '7.1906', '-0.22', '1.81', '13.0', '2.57', '2.51']","['00045', '2016-12', '7.3523', '0.88', '8.73', '43.0', '2.11', '2.05']","['00045', '2017-06', '8.5857', '5.03', '6.47', '33.0', '1.4', '1.36']","['00045', '2017-12', '10.4153', '-1.45', '3.42', '73.0', '0.58', '0.56']","['00045', '2018-06', '10.8723', '-0.59', '2.35', '41.0', '0.46', '0.43']","['00045', '2018-12', '10.42', '0.14', '2.13', '78.0', '1.09', '1.04']"
"['00046', '2015-12', '2.1442', '0.28', '1.44', '18.27', '3.8', '3.8']","['00046', '2016-06', '2.0929', '-0.2', '1.6', '9.36', '2.09', '2.09']","['00046', '2016-12', '2.2681', '0.03', '0.7', '20.81', '2.32', '2.32']","['00046', '2017-06', '2.6133', '0.04', '3.56', '9.42', '2.48', '2.48']","['00046', '2017-12', '2.5334', '0.02', '0.94', '22.43', '2.44', '2.43']","['00046', '2018-06', '2.6358', '-0.12', '1.37', '12.47', '2.06', '2.05']","['00046', '2018-12', '2.73', '-0.12', '1.24', '27.85', '2.52', '2.52']"
"['00047', '2015-12', '0.0917', '0.0', '0.61', '0.66', '1.49', '1.14']","['00047', '2016-06', '0.0871', '-0.02', '4.95', '0.4', '1.41', '1.14']","['00047', '2016-12', '0.1053', '0.02', '3.2', '1.26', '1.56', '1.36']","['00047', '2017-06', '0.1741', '-0.01', '6.45', '0.88', '1.57', '1.34']","['00047', '2017-12', '0.199', '0.02', '4.51', '1.71', '1.67', '1.47']","['00047', '2018-06', '0.1684', '0.0', '1.58', '0.77', '1.68', '1.4']","['00047', '2018-12', '0.14', '0.0', '0.64', '1.25', '0.0', '0.0']"
"['00048', '2015-12', '0.26', '0.01', '13.7', '8.8', '10.63', '10.35']","['00048', '2016-06', '0.192', '-0.08', '7.41', '-5.2', '7.21', '6.93']","['00048', '2016-12', '0.167', '0.0', '10.61', '-7.6', '2.61', '2.41']","['00048', '2017-06', '0.129', '-0.03', '3.86', '-11.6', '2.12', '1.95']","['00048', '2017-12', '0.102', '0.0', '9.64', '-12.0', '2.06', '1.86']","['00048', '2018-06', '0.082', '0.01', '2.57', '-1.5', '1.95', '1.74']","['00048', '2018-12', '0.045', '0.0', '1.46', '-3.77', '0.0', '0.0']"
"['00050', '2015-12', '7.6685', '0.32', '1.28', '54.0', '6.83', '5.78']","['00050', '2016-06', '7.6507', '0.14', '1.09', '35.0', '9.11', '7.72']","['00050', '2016-12', '8.0662', '-0.2', '1.12', '66.0', '3.48', '2.75']","['00050', '2017-06', '8.103', '0.31', '1.6', '47.0', '3.62', '2.93']","['00050', '2017-12', '8.3958', '-0.06', '1.05', '97.0', '3.95', '3.2']","['00050', '2018-06', '8.5875', '0.07', '0.98', '77.0', '13.44', '12.92']","['00050', '2018-12', '7.9', '-0.51', '0.39', '97.0', '13.41', '7.22']"
"['00051', '2015-12', '11.0906', '0.1526', '0.05', '174.0', '1.27', '1.27']","['00051', '2016-06', '11.4444', '-0.146', '0.07', '60.0', '1.04', '0.79']","['00051', '2016-12', '12.6015', '0.4554', '0.07', '98.0', '0.86', '0.64']","['00051', '2017-06', '13.0488', '0.8766', '0.44', '78.0', '0.53', '0.39']","['00051', '2017-12', '13.7572', '0.0224', '0.08', '186.0', '0.46', '0.44']","['00051', '2018-06', '13.8167', '0.7043', '0.12', '51.0', '0.42', '0.4']","['00051', '2018-12', '13.783', '-0.5723', '0.11', '117.0', '1.2', '0.51']"
"['00052', '2015-09', '17.1693', '-1.07', '4.53', '80.63', '1.52', '1.44']","['00052', '2016-03', '19.4034', '1.79', '6.26', '158.62', '1.66', '1.56']","['00052', '2016-09', '26.2362', '6.15', '17.37', '81.71', '1.35', '1.27']","['00052', '2017-03', '25.2438', '2.65', '17.17', '161.43', '1.5', '1.4']","['00052', '2017-09', '28.452', '-0.46', '13.23', '91.75', '1.26', '1.18']","['00052', '2018-03', '29.0185', '-1.11', '8.13', '169.16', '1.46', '1.37']","['00052', '2018-09', '26.7779', '-1.52', '6.63', '78.4', '1.34', '1.27']"
"['00053', '2015-06', '76.7446', '2.3293', '0.43', '184.0', '3.27', '1.68']","['00053', '2015-12', '73.7766', '-3.7274', '0.13', '100.0', '4.6', '3.1']","['00053', '2016-06', '68.6669', '-0.72', '0.14', '122.0', '2.51', '1.68']","['00053', '2016-12', '76.1684', '1.2713', '0.44', '121.0', '2.0', '1.31']","['00053', '2017-06', '82.0258', '-0.7141', '0.26', '241.0', '2.14', '1.41']","['00053', '2017-12', '94.4133', '-13.45', '1.19', '146.0', '2.49', '1.74']","['00053', '2018-12', '92.2794', '-26.6111', '2.85', '31.33', '4.48', '2.95']"
"['00054', '2016-06', '19.2093', '-0.39', '2.41', '317.0', '3.76', '3.24']","['00054', '2016-12', '21.7988', '-0.62', '2.22', '99.0', '4.51', '4.1']","['00054', '2017-06', '24.0981', '0.48', '2.04', '225.0', '2.29', '2.12']","['00054', '2017-12', '23.9098', '-0.37', '3.32', '243.0', '2.36', '2.16']","['00054', '2018-06', '25.6333', '-0.35', '4.71', '1031.0', '7.88', '7.49']","['00054', '2018-09', '24.3898', '-0.38', '3.76', '759.0', '7.39', '7.0']"
"['00055', '2015-12', '0.91', '-0.1', '62.64', '-3.65', '4.4', '3.85']","['00055', '2016-06', '0.455', '0.03', '22.94', '18.73', '4.29', '3.78']","['00055', '2016-12', '0.53', '-0.05', '25.97', '33.6', '3.67', '3.27']","['00055', '2017-06', '0.51', '-0.07', '6.11', '1.58', '4.59', '4.01']","['00055', '2017-12', '0.48', '-0.01', '6.22', '18.98', '4.08', '3.6']","['00055', '2018-06', '0.465', '-0.06', '4.46', '-9.0', '3.58', '3.23']","['00055', '2018-12', '0.34', '0.01', '1.66', '-14.95', '0.0', '0.0']"
